标题,价格,销量,店铺,地点,,,
HUAWEI HUAWEI P30 Pro全网通手机8g+64g128g256g512g现货分期p30,"￥3,750.00",16人付款,a18862836888,上海,,,
纽曼 M560C老人机超长待机移动老年手机正品女按键直板老年机小手机大屏大字大声类诺基亚功能机电信老人手机,￥79.00,595人付款,创于佳讯数码专营店,广东 深圳,,,
【现货发货】Nokia/诺基亚 3310 4G 中移动官方旗舰店正品诺基亚3310手机学生老人备用诺基亚4G手机,￥399.00,21人付款,中国移动官方旗舰店,浙江 杭州,,,
全新原装格力三3代色界G0245D格力手机2二代G0215D手机G0335D手机,￥958.00,155人付款,yinyanshuma,广东 深圳,,,
Aoro/遨游 W260 防爆版 IIC本安型工业防爆手机石油化工厂加油站,￥968.00,52人付款,都市代购,山东 青岛,,,
纽曼 L9三防全网通老人机老年手机超长待机移动电信版大字大声老人手机大屏正品军工路虎诺基亚学生直板按键,￥289.00,121人付款,万诚春数码专营店,广东 深圳,,,
送豪礼 Huawei/华为 Mate 9 全网通4G 双卡双待智能正品手机mate9,"￥1,078.00",122人付款,jincieryii,广东 深圳,,,
Samsung/三星 Galaxy S10+ SM-G9750 s10e s10+ 港行 港版手机,"￥3,998.00",75人付款,mj913850240,广东 深圳,,,
天语T9正品翻盖老人机超长待机移动联通电信版男女款按键诺基亚老年手机大屏大字大声小学生备用天翼cdma功能,￥165.00,333人付款,天语强宇专卖店,广西 桂林,,,
BlackBerry/黑莓 Q10 全键盘电信三网商务原装正品智能4G手机,￥458.00,295人付款,yi时代创新jun1687,广东 深圳,,,
HUAWEI HUAWEI P30 华为P30 全网通 华为P30PRO曲屏手机 麒麟980,"￥3,618.00",15人付款,辽宁东哲数码连锁,辽宁 大连,,,
nubia/努比亚 红魔Mars电竞手机游戏全新机红魔3mars213代黑鲨,"￥2,099.00",84人付款,heatlinda,广东 深圳,,,
上海发货Apple/苹果 iPhone XR 苹果iphonexr xs max双卡4G手机8,"￥4,858.00",53人付款,nanncy8313256_2009,上海,,,
realme X手机索尼4800万官方原装手机realme x青春版手机oppo手机,"￥1,238.00",34人付款,青松数码2009,湖北 武汉,,,
现货送影视VIP【小米note3】Xiaomi/小米 小米NOTE 3全网通4G手机,￥869.00,86人付款,徐光赏,江苏 常州,,,
新款Apple/苹果 iPhone XR国行iphonexr苹果双卡4G手机原封未激活,"￥4,860.00",14人付款,blue_sky528,上海,,,
【送移动电源】Huawei/华为 nova 2s全面屏正品行货手机6英寸,"￥1,058.00",122人付款,清风时尚科技,广东 深圳,,,
vivo X23直降500元送电扇屏幕指纹旗舰x23手机vivoX21正品IQOO Z3,￥721.71,91人付款,楚鼎服饰,湖北 武汉,,,
位置穿越 Lenovo/联想 Z5 全网通 联想z5手机骁龙636 Z5S骁龙710,￥859.32,99人付款,诚信实拍数码,广东 深圳,,,
Philips/飞利浦 E209J 移动联通2G 双卡双待超长待机直板按键正品老人手机学生功能机,￥168.00,55人付款,飞利浦官方旗舰店,上海,,,
【直降400+送套餐】Nokia/诺基亚 X71全面屏手机 新品诺基亚x71 x,"￥1,499.00",71人付款,wezebaba,广东 深圳,,,
现货黑鲨2代Xiaomi/小米 黑鲨游戏手机 2黑鲨3代二代电竞专用plus,"￥2,849.00",29人付款,友铭数码通讯,上海,,,
新荣耀20i冲量价华为荣耀honor/荣耀荣耀20i手机华为20荣耀20iV20,"￥1,360.24",28人付款,徐志明tb,浙江 杭州,,,
Samsung/三星 Galaxy S10+ SM-G9750港行港版三星s10e手机s10plus,"￥2,661.12",31人付款,中宽通讯行,广东 深圳,,,
分期免息Apple/苹果 iPhone SE128G国行未激活三网通4G正品手机,￥719.00,101人付款,华南商城2009,广东 深圳,,,
分期免息Apple/苹果 iPhone X 苹果iphonex 苹果x手机10x国行美版,"￥4,000.00",30人付款,weilongzhong,广东 深圳,,,
官方正品Nokia/诺基亚 新210老人机按键双卡双待移动超长待机学生儿童经典迷你小手机官方旗舰店备用老人手机,￥299.00,215人付款,天讯蓝图数码专营店,广东 深圳,,,
谷歌/Google Pixel 3 移动联通4g谷歌3电信4g手机 Pixel3XL 现货,"￥2,299.00",21人付款,孙宝霞22222,广东 汕头,,,
【6期免息限量抢购】OPPO FindX oppofindx手机限量版 兰博基尼版findx旗舰手机oppo未来x opporeno r17,"￥4,999.00",6人付款,乐语数码旗舰店,北京,,,
vivo S1手机6G+128G/256G全网通全面屏vivos1pro新品,"￥1,898.00",16人付款,海神数码,上海,,,
Huawei/华为 nova 3全面屏四摄官方正品手机4G全网通新款分期学生,"￥1,786.00",51人付款,广州大学生888,广东 深圳,,,
【V20直降800元】 honor/荣耀 荣耀V20 全网通6.4英寸全面屏手机,"￥2,399.00",43人付款,云科数码店,河北 石家庄,,,
小米全网通4G老年机Qin1s+多亲小爱同学ai语音手机微信学生老人机,￥254.15,601人付款,深圳十度数码自营店,广东 深圳,,,
【顺丰速发/送21重壕礼】Huawei/华为 麦芒7全面屏手机官方旗舰店正品官网新款新品6 nova2s 3e p20 4e,"￥1,528.00",35人付款,君问数码官方旗舰店,浙江 杭州,,,
Huawei/华为 畅享7 Plus高配 全网通4G大容量续航智能手机5.5正品,￥618.00,146人付款,zhangjintang89,广东 深圳,,,
Xiaomi/小米 小米8SE全面屏智能手机高通骁龙710全网通4G小米8,"￥1,289.00",57人付款,徐m小妖,广东 深圳,,,
vivo iQOO新款骑士黑猛兽版8加256分期12+128g手机官网爱酷武士黑,"￥2,572.02",21人付款,美达丰,山东 济南,,,
【抢先付尾款优先发货】Huawei/华为 nova4e全面屏超广角AI三摄麒麟710学生华为4G手机,"￥1,999.00",76人付款,苏宁易购官方旗舰店,江苏 南京,,,
Philips/飞利浦 E163K 老人机超长待机直板按键大屏大字大声移动联通2G老年手机军工女款小学生迷你备用机,￥135.00,2516人付款,苏宁易购官方旗舰店,江苏 南京,,,
64G低至1149起+领券再减 Xiaomi/小米6X手机官方旗舰店5红米note7pro6正品redmi7新8青春米9se全网通骁龙plus,"￥1,149.00",15人付款,三际数码官方旗舰店,山东 济南,,,
12期免息+可减600元/华为honor/荣耀 荣耀NOTE10游戏手机三际官方旗舰店正品v20noto10官网note10液态10note,"￥2,599.00",13人付款,三际数码官方旗舰店,山东 济南,,,
【现货当天发货】Meizu/魅族 note8 智能学生游戏国民拍照正品官方旗舰店手机魅蓝6/6t/note6/note7,￥889.00,16人付款,晋商数码专营店,北京,,,
【送壳膜】荣耀Huawei/华为 畅享 8e 青春版老年人学生智能电信4G官方正品手机,￥509.00,63人付款,晋商数码专营店,北京,,,
【分期付款+满减】honor/荣耀 荣耀play手机plαy正品华为paly 8x,￥988.00,68人付款,诚亨通讯,广东 深圳,,,
现货360 N7Lite全网通全面屏手机青春版全新官方旗舰店官网正品n6高配版n5s/n6pro/n7pro/n7/,￥999.00,14人付款,久汇数码专营店,广东 深圳,,,
降价送豪礼Huawei/华为 nova 3全网通官方正品手机Nova3i大屏拍照,"￥1,608.00",60人付款,兴兴奔波,广东 东莞,,,
【6期免息/限时满减100元/送华为音箱 】Huawei/华为 nova 4e 移动4G+手机 官方旗舰店 nova4e 华为nova4 4,"￥1,799.00",12人付款,中国移动手机官方旗舰店,广东 广州,,,
Apple/苹果 iPhone X XS XS Max 苹果新款手机原封未激活国行版,"￥5,820.00",29人付款,朗朗电玩,浙江 杭州,,,
分期免息送好礼OPPO Reno手机opporeno手机十倍变焦版 北京可闪送,"￥2,695.00",33人付款,hdt198,北京,,,
一加7pro手机现货速发OnePlus/一加 GM1910手机全新品1+7T骁龙855,"￥2,969.01",44人付款,为人民服务666,北京,,,
【3期免息/现货速发】 Samsung/三星 Galaxy A40s SM-A3050 全网通官方旗舰店正品国行手机A60/A6S,"￥1,499.00",21人付款,时器数码专营店,广东 广州,,,
纽曼 C9S军工三防老年手机超长待机正品大屏大字大声老人机移动电信版天翼中老年机直板按键电霸备用老人手机,￥178.00,67人付款,纽曼深圳专卖店,广东 深圳,,,
vjvj X21S全面屏学生价安卓超薄游戏指纹智能电信全网通手机正品,￥398.00,64人付款,天意顺通通讯,广东 深圳,,,
【现货当天发】分期免息/套餐任选 360 N7手机正品360手机n7 N6pro官方旗舰店官网 360n6 n7pro,"￥1,149.00",61人付款,博盛景数码专营店,广东 深圳,,,
vivo X27全新机三摄手机vivo x27手机旗舰X23手机x27pro手机s1,"￥1,582.02",43人付款,楚鼎服饰,湖北 武汉,,,
官方 OnePlus/一加 一加手机6一加手机6全面屏1加6 1+6t 1加7pro,"￥1,999.00",26人付款,e酷手机网,北京,,,
Samsung/三星 SM-W2019心系天下 电信高端翻盖商务 w2018正品手机,"￥1,499.00",39人付款,白夜城电讯,北京,,,
Xiaomi/小米 红米4A 5A 6A 4X 3S全网通4G老人学生智能手机正品,￥279.00,406人付款,深圳通讯数码有限公司,广东 深圳,,,
亏本冲量【套餐0元购】honor/荣耀 荣耀8X MAX手机 8X 正品分期,￥898.00,47人付款,梅州铭鑫通讯,广东 深圳,,,
Meizu/魅族 魅蓝 Note6全网通4Gnote3 指纹note5魅蓝6学生手机,￥399.00,171人付款,谢萍玲,广东 深圳,,,
OPPO R9 PLUS全网通4G闪充美颜6英寸R9S智能手机正品包邮促销,￥688.00,283人付款,花之恋188,浙江 杭州,,,
正品Nokia/诺基亚 新130老人机超长待机移动大字大声大屏学生儿童男女款老年人备用经典迷你小手机官方旗舰店,￥159.00,582人付款,哥小哥数码专营店,广东 深圳,,,
Sony/索尼 Xperia XZ2 compact 新款 XZ2c 4G 手机 港版,"￥2,388.00",18人付款,终极者11,广东 深圳,,,
Apple/苹果 iPhone X苹果Xiphonex苹果iphone10国行全网通4G手机,"￥4,945.05",22人付款,盈利通贸易有限公司,广东 深圳,,,
[瓜子工作手机/瓜子网小米定制机] Xiaomi/小米 小米 PLAY,"￥1,099.00",238人付款,i话通信商城,北京,,,
Apple/苹果 iPhone XS Max 韩版 手机 移动 联通 4g 山东直发,"￥4,540.00",13人付款,婷striving,山东 烟台,,,
降价华为honor/荣耀 荣耀V10全网通全面屏4G智能手机新荣耀V10,"￥1,719.00",61人付款,玖零世纪,广东 深圳,,,
Samsung/三星 GALAXY S8全新港版双卡美版三星S8+ Plus全网通手机,"￥1,168.00",82人付款,雅丽佳老店,广东 深圳,,,
已降价1600元/送200元礼 Huawei/华为 P20 Pro 全网通旗舰正品拍照商务手机官方旗舰店官网P30/荣耀V20/nova4,"￥3,388.00",1人付款,同迅数码专营店,辽宁 大连,,,
国行Sony/索尼 J9110 XPERIA 1电信4K全面屏三网三摄双卡手机港版,"￥5,699.00",12人付款,cctianping33,上海,,,
vivo Z3水滴屏vivo z3i手机Z1青春x21 128g内存手机正品手机u1 z3,￥940.50,69人付款,楚鼎服饰,湖北 武汉,,,
honor/荣耀 荣耀V10全面屏人脸识别智能拍照全网通正品手机降价,"￥1,348.00",68人付款,prl44210390abcd,广东 深圳,,,
Philips/飞利浦 E207l老年手机超长待机正品直板大屏大字大声男女儿童学生按键功能小备用移动双卡老人机,￥129.00,584人付款,华盛盈创数码专营店,广东 深圳,,,
现货当天发新品小米9se Xiaomi/小米 小米9手机透明尊享版骁龙855,"￥2,999.00",79人付款,鲁信数码科技公司,河南 郑州,,,
realme X 青春版拍照手机 骁龙710全面屏官方旗舰realmex全新oppo,"￥1,219.00",32人付款,heatlinda,广东 深圳,,,
12期免息 OPPO A9手机全新机 oppoa9 r9 a5 r11 oppo手机官方正品,"￥1,399.00",236人付款,oppo正品商城,北京,,,
尼凯恩 EN8C直板电信版老年手机大屏大字大声正品老人机超长待机男女款按键儿童学生迷你时尚小备用机,￥79.00,434人付款,尼凯恩旗舰店,广东 深圳,,,
UniscopE/优思 US1军工三防老人手机移动联通直板老年机超长待机按键大屏大字大声备用机正品充电宝学生机,￥99.00,553人付款,优佳讯数码专营店,广东 深圳,,,
vivo Y97 Y93S当天发货送豪礼手机全新机 vivoy97 vivox21 x23 y3,"￥1,128.60",94人付款,青松数码2009,湖北 武汉,,,
华为honor/荣耀 荣耀10全网通正品6G/8G+64G/128G荣耀10降价手机,"￥1,699.00",32人付款,sunhonpe,广东 深圳,,,
降价！Xiaomi/小米 Redmi Note 7小金刚新手机红米note7正品6pro,￥678.00,112人付款,有话好说liu,广东 深圳,,,
Apple/苹果 iPhone 8 Plus 手机苹果iphone8特别版电信无锁有锁4G,"￥3,623.40",30人付款,zhuxiaoming1113,天津,,,
分期免息付款Huawei/华为 nova 2s华为官方旗舰店正品手机畅享9plus 9s 9e 麦芒7荣耀10青春版 畅玩8x 8a,"￥1,358.00",4人付款,八连星手机专营店,上海,,,
12期分期免息 vivoiqoo现货手机 iqoo全新骑士黑 icoo bbk iq00,"￥2,798.00",21人付款,yy_sky_2008,广东 东莞,,,
全新OPPO R11全国联保oppor11plus全网通4G oppor11splus智能手机,￥980.00,102人付款,智能宝企业,广东 珠海,,,
Apple/苹果 iPhone X苹果8x全新iphoneX国行美版有锁智能手机分期,"￥4,199.00",23人付款,wh80008,广东 深圳,,,
三星 w2019尊铂Samsung/三星 SM-W2019+典藏商务翻盖正品手机2018,"￥8,999.00",30人付款,鑫世纪88通讯专卖,北京,,,
正品Huawei/华为畅享7 Plus 高配全网通4G双卡指纹5.5寸智能手机,￥405.00,122人付款,林欧阳香,广东 深圳,,,
【原装正品】Huawei/华为 nova 2s人脸识别 NFC功能6寸全面屏手机,￥880.00,40人付款,小乔淘淘购,广东 广州,,,
OPPO R11手机 新年红色热力红OPPOr11S花呗分期R11PLUS全网通R9S,￥890.00,146人付款,花之恋188,浙江 杭州,,,
【3期免息套餐赠好礼】OPPO A9x 全面屏AI美颜双摄拍照4800万像素长续航大内存正品学生全网通4G手机oppoa5,"￥1,999.00",46人付款,苏宁易购官方旗舰店,江苏 南京,,,
【1号0点下单减100】华为honor/荣耀 荣耀8X Max 大屏全新正品手机官方旗舰店畅玩8xmax,"￥1,699.00",30人付款,苏宁易购官方旗舰店,江苏 南京,,,
64G领券9?9起当天发+送手环 Xiaomi/小米 红米7手机小米官方旗舰店redmi7A正品5新款note7pro6学生8老人7plus,￥699.00,49人付款,三际数码官方旗舰店,山东 济南,,,
459起顺丰包邮Nokia/诺基亚 8110 4G复刻版香蕉小手机老年人学生机按键滑盖备用机正品网红官方旗舰店洛基亚,￥499.00,62人付款,三际数码官方旗舰店,山东 济南,,,
honor/荣耀 荣耀play 麒麟970创客智能微商专用微营销128G手机,"￥3,852.00",63人付款,windofdream_2008,广东 深圳,,,
正品R17学生价超薄6.3游戏安卓智能移动联通电信全网通4G双卡手机,￥498.00,224人付款,深港批发直销,广东 深圳,,,
正品Nokia/诺基亚 8110 4G移动联通4G老人机超长待机滑盖按键经典WIFI热点老年机学生儿童网红备用香蕉手机,￥469.00,21人付款,天讯蓝图数码专营店,广东 深圳,,,
纽曼 l6老人机超长待机大按键移动电信版老年机儿童学生手机大屏大字大声直板中老年人手机女迷你小巧诺基亚,￥75.00,190人付款,纽曼深圳专卖店,广东 深圳,,,
Apple/苹果 iPhone XS Max 苹果手机xs max港版美版xsm有锁双卡XR,"￥3,469.00",24人付款,13829951846w,广东 深圳,,,
Huawei/华为 全网移动联通4G3G老人手机大声大字电信3G网络老年机,￥128.00,839人付款,优美动听007,广东 深圳,,,
魅果N360名爵水滴全面屏5G网络全网通超长待机男士商务智能5G手机,"￥1,269.00",54人付款,zeashin,广东 深圳,,,
三星a8s手机降价官网莓什么Samsung/三星 Galaxy A8s SM-G88709s6,"￥1,499.00",33人付款,京成数码商贸,北京,,,
【现货当天发】honor/荣耀 荣耀20 PRO 荣耀20手机 荣耀20pro v20,"￥2,699.00",122人付款,深圳佳发通讯,广东 深圳,,,
Huawei/华为 nova 2s人脸识别指纹 NFC功能四镜头全面屏美拍手机,"￥1,218.00",55人付款,a卢威振a,上海,,,
降价速发 华为honor/荣耀 畅玩7X 官方旗舰店正品手机畅享8plus学生9青春x7高配版全面屏智能手机V109i官网,"￥1,108.00",7人付款,八连星手机专营店,上海,,,
【送吃鸡神器】当天发Xiaomi/小米 小米8手机 全面屏骁龙845小米8,"￥1,466.00",27人付款,亿佳数码o,广东 深圳,,,
新品Xiaomi/小米 小米9新手机全面屏全新小米9 8+128G手机骁龙855,"￥1,788.00",60人付款,才发现永远太近,辽宁 大连,,,
国行港版美版韩版苹果手机Apple/苹果 iPhone XS Max xmax苹果max,"￥4,910.00",36人付款,4k电子,北京,,,
创星（手机） R9超薄卡片手机移动电信智能备用迷你学生戒网男女ATMAN袖珍直板儿童超小抖音同款网红小手机,￥135.00,440人付款,东旭启信数码专营店,广东 深圳,,,
速发【特价冲量】honor/荣耀 荣耀10青春版 渐变色V20正品手机8x,"￥1,138.00",33人付款,梅州铭鑫通讯,广东 深圳,,,
降价100元/送200元礼 华为honor/荣耀 畅玩8C 全网通全面屏官方旗舰店官网大电池三卡槽正品新款大屏手机有8X,￥899.00,22人付款,同迅数码专营店,辽宁 大连,,,
【支持下水】Samsung/三星 galaxy note8 港版美版全网通N8手机4G,"￥2,000.00",52人付款,arianai,上海,,,
华为honor/荣耀 畅玩6X 畅玩7X全网通移动联通4G智能手机指纹解锁,￥545.00,327人付款,xiaoqin_0202,广东 广州,,,
OPPO A77智能4G正品全网通指纹解锁超薄美颜拍照手机oppoa77,￥710.00,74人付款,优乐渼,广东 深圳,,,
Apple/苹果 iPhone XR国行苹果手机iphoneXR6.1寸全屏重庆实体XR,"￥4,100.00",39人付款,邂逅水清清,重庆,,,
官方Xiaomi/小米 Redmi Note 7红米note7pro新手机6a小金刚 k20,￥789.00,216人付款,友铭数码通讯,上海,,,
华为honor新荣耀20i青春版学生游戏手机官网新款官方正品6g 128g,"￥1,453.32",98人付款,yqc18,上海,,,
谷歌/Google Pixel 3aXL Pixel 3a/3aXLPixel XL3a原生谷歌手机,"￥3,050.00",13人付款,青帝诚信,上海,,,
现货Samsung/三星 GALAXY S8+ S10plus S10+ S10e港版港行s10手机,"￥3,168.00",87人付款,宏鑫数码通讯,广东 深圳,,,
【亏本冲量】OPPO R17 水滴屏R15 屏幕指纹a7x手机 oppor17 R15X,"￥1,781.01",79人付款,正方形数码,山东 济南,,,
直降1500 Huawei/华为 Mate 20全面屏全网通Mate20X手机Pro现货,"￥2,448.00",24人付款,三际人和数码,湖北 武汉,,,
花呗免息OPPO R11正品全网通OPPOR11S手机美颜r11plus R9,￥890.00,183人付款,三亚苗圃,上海,,,
纽曼 M560老人机超长待机移动电信版天翼老人手机大屏大字大声老年机直板按键中老年手机备用小学生功能机,￥99.00,234人付款,纽曼深圳专卖店,广东 深圳,,,
Apple/苹果 iPhone X/XS/XS Max 苹果新款手机原封未激活国行版,"￥5,780.00",43人付款,zjdtpprint,浙江 杭州,,,
【3期免息】Apple/苹果 iPhone XS Max iPhone xs 苹果xs双卡手机,"￥4,688.00",7人付款,诚信手机有限公司,广东 深圳,,,
SMARTISAN/锤子 坚果 3 坚果pro指纹识别 5.99英寸大屏手机包邮,￥799.00,106人付款,阻拦紧紧紧,上海,,,
现货+顺丰】ZTE/中兴 BA602T 移动4G智能大屏长待机老年人智能正品手机支持NFC,￥509.00,11人付款,晋商数码专营店,北京,,,
Apple/苹果 iPhone 8 Plus苹果X 8plus手机iphonex美版8P无锁三网,"￥2,587.99",70人付款,热爱时尚潮流,广东 深圳,,,
OnePlus/一加 一加手机6 一加6t 全面屏 一加5国行 一加5t手机 8g,"￥1,599.00",91人付款,诚有信未则来,广东 广州,,,
夏季猛冲量 honor/荣耀 荣耀9青春版 荣耀9i 全网通4G智能手机8X,￥598.00,232人付款,大君达企业,广东 深圳,,,
vivo XPlay6 曲面屏 6G运行 128G 大内存手机vivo x21 x23,"￥1,898.00",18人付款,张瑜0809,山东 济南,,,
正品Meitu/美图 T8美颜全网通T8s手机美图M8美少女版限量版T9m8s,￥691.02,153人付款,小城大爱a,广东 深圳,,,
Apple/苹果 iPhone XR 国行港版苹果 iphonexr手机XR美版有锁XS,"￥3,630.00",24人付款,张顶全888,上海,,,
分期免息Apple/苹果iPhone XS Max iPhone XS 双卡国行原封手机,"￥7,080.00",23人付款,裙子也疯狂,江苏 南京,,,
Changhong/长虹 L6 老人手机大屏大字大声老年机超长待机直板移动联通双卡双待正品老年机大声音大字体语音王,￥159.00,203人付款,长虹佳音专卖店,安徽 合肥,,,
Changhong/长虹 L6 老人手机大屏大字大声老年机超长待机直板移动联通双卡双待正品老年机大声音大字体语音王,￥159.00,203人付款,长虹佳音专卖店,安徽 合肥,,,
新品honor/荣耀 荣耀8X 华为畅玩系列手机降价x8官网6+128学生64,"￥1,088.00",68人付款,度伊特2009,湖北 武汉,,,
Meitu/美图 T9 美少女战士限量版手机新款魔卡少女樱百变小樱哆啦,"￥1,099.00",55人付款,宜必宜,广东 深圳,,,
现货送无线充ZTE/中兴 A2020 Pro天机axon10pro手机中兴天机10pro,"￥3,199.00",73人付款,abby7313,广东 深圳,,,
honor/荣耀 荣耀8X 6g+128G 全面大屏手机全网通 千元学生用正品,"￥1,600.00",43人付款,孙盛啊啊啊,天津,,,
Apple/苹果 iPhone XS Max 苹果xs iphoneXs 双卡港版国行xr手机,"￥4,628.00",16人付款,嘉年商业,广东 深圳,,,
分期免息Apple/苹果 iPhone SE128G国行未激活SE三网4G正品Se手机,￥708.00,31人付款,纵宇数码商城,上海,,,
Konka/康佳 U1S老人机超长待机正品直板老年机小手机移动老人手机大屏大字大声男女款学生按键戒网老年手机,￥158.00,99人付款,慕尚年华数码专营店,广东 深圳,,,
Meizu/魅族 Note9 全面屏游戏拍照手机 全网通移动联通电信4G手机 双卡双待,"￥1,398.00",81人付款,苏宁易购官方旗舰店,江苏 南京,,,
Philips/飞利浦 E280正品超长待机商务备用机男移动双卡双待直板按键老人手机语音大屏2.8英寸大字大声老年机,￥289.00,363人付款,苏宁易购官方旗舰店,江苏 南京,,,
3期免息/送壳膜套装/Samsung/三星 Galaxy S8+ SM-G9550 S8plus全网通官方旗舰店正品 曲屏手机 学生手机降价,"￥3,398.00",7人付款,三际数码官方旗舰店,山东 济南,,,
保修三年+送护眼仪/华为honor/荣耀 畅玩7A全面屏官方旗舰店老年机智能手机大声老人学生儿童手机7a正品官网,￥799.00,12人付款,三际数码官方旗舰店,山东 济南,,,
当天发送599礼realme X官方旗舰正品青春版智能realmex手机OPPO,"￥1,209.00",38人付款,美图专门店,广东 深圳,,,
新品现货 Nokia/诺基亚新210直板老人机学生备用经典迷你小手机官方旗舰店老年款正品全新非智能商务按键手机,￥299.00,38人付款,中国移动手机官方旗舰店,北京,,,
【全网通4G网络】天语 T2S移动电信版按键直板正品老年手机大屏大字大声超长待机老人机诺基亚小学生备用功能,￥99.00,878人付款,利欧数码专营店,广西 桂林,,,
纽曼 S10新款抖音同款卡片手机超薄可爱直板移动男女款戒网迷你儿童手机个性非智能学生手机超长待机正品,￥198.00,210人付款,纽曼易为理想专卖店,广东 深圳,,,
华为p30 手机新品HUAWEI HUAWEI P30 PRO 980芯片智能手机p30 pro,"￥5,445.00",27人付款,阿奎通讯行,江苏 常州,,,
谷歌/Google Pixel 3XL Pixel 3代 Pixel XL3原生谷歌手机,"￥4,550.00",46人付款,青帝诚信,上海,,,
Meizu/魅族 魅蓝Note6全网通4G 八核5.5大屏智能手机Note5 魅蓝6,￥278.00,638人付款,奕欣数码,广东 深圳,,,
GOFLY/捷语X3正品军工三防智能手机超长待机大声全网通4G防水防摔,￥740.43,118人付款,索克丰科技,广东 深圳,,,
Huawei/华为 P20 Pro全网通128g全面屏6G运行手机64g正品Mate20,"￥2,148.00",28人付款,深圳之音,广东 深圳,,,
【降价大促】-OPPO R17 全网通oppor17 新年版R17 新年红 手机R15,"￥1,731.51",51人付款,guorenkai1983,北京,,,
直降800Huawei/华为 Mate 20 Pro全面屏 mate20X 保时捷手机,"￥2,799.00",29人付款,t_1497275927126_0366,山东 济南,,,
Apple/苹果 iPhone XR 苹果XR iphonexr 日版美版有锁无锁版手机,"￥3,588.00",29人付款,神速手机,广东 深圳,,,
OPPO R9S手机全网通4+64G指纹解锁OPPOR9双卡双待R9Splus正品R11,￥888.00,53人付款,魅力小皇32391371,广东 深圳,,,
花呗免息OPPO R9S全网通4G手机指纹解锁双卡双待oppor9手机R9PLUS,￥650.00,132人付款,亲亲婷妹儿,浙江 杭州,,,
【移动官方】Philips/飞利浦 E212A 双卡双待老人机功能机儿童备用机,￥288.00,63人付款,中国移动手机官方旗舰店,广东 广州,,,
正品米蓝X23全网通智能手机全面刘海屏学生价超薄指纹安卓电信R17,￥398.00,187人付款,湘旺之秀,广东 深圳,,,
Xiaomi/小米 小米9现货透明尊享版手机9SE 骁龙855幻彩紫蓝256G,"￥1,838.00",24人付款,世佳数码店,广东 深圳,,,
3期免息/送礼盒 vivo X27全屏vivox27旗舰vivoX27pro手机NEX S1,"￥2,278.00",26人付款,诚信数码0791,江苏 南京,,,
LG V40高通骁龙845震撼外放5个相头HIFI游戏旗舰手机6到8G运存UFS,"￥1,729.00",33人付款,驴云肥猫,广东 深圳,,,
正品全新水滴刘海屏游戏智能安卓学生价手机指纹一体超薄全网通4G,￥228.00,93人付款,熊猫4188,广东 深圳,,,
HUAWEI 华为畅享 9e老人智能手机千元老年机大字大声超长待机正品,￥987.24,31人付款,泷泽hyp,广东 深圳,,,
现货【直降200+碎屏保】honor/荣耀 荣耀20i珍珠全面屏手机V20pro,"￥1,268.00",35人付款,梅州铭鑫通讯,广东 深圳,,,
小米9手机送无线充旗舰官方Xiaomi/小米 小米9骁龙se尊享透明版,"￥2,129.00",114人付款,春江哥,四川 成都,,,
Xiaomi/小米 Redmi K20 骁龙 855红米k20Pro官方旗舰手机新品免息,"￥2,199.00",32人付款,绝对诚信qq464547963,广东 深圳,,,
OPPO R17水滴屏手机oppor17新年红r15全网通OPPO R15x屏幕指纹,"￥1,748.00",40人付款,四海八荒数码,广东 深圳,,,
现货当天发小米9se新品Xiaomi/小米 小米9SE手机尊享探索版全面屏,"￥1,850.00",22人付款,鲁信数码科技公司,河南 郑州,,,
2558元起【官方正品】Huawei/华为 P20 全面屏全网通手机P20 pro,"￥2,298.00",25人付款,hanjbo,河南 郑州,,,
Huawei/华为 畅享7 Plus超长待机老人机大字体大声音老年智能手机,￥453.96,121人付款,zhuyoukui1987,江苏 南京,,,
Philips/飞利浦 E256S 翻盖老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生手机正品,￥288.00,37人付款,致诚信达数码专营店,广东 深圳,,,
【6期免息】 Samsung/三星 Galaxy S10e SM-G9700 骁龙855 三摄像头官方正品IP68防水 4G学生全网通智能手机,"￥4,999.00",12人付款,时器数码专营店,广东 广州,,,
OPPO R11手机新年红色热力红oppo r11s花呗分期R11SPLUS全网通R9S,￥929.00,96人付款,亚洲第一通讯,广东 广州,,,
旗舰正品Changhong/长虹 A8 老人机怀旧翻盖老年人手机老人手机大屏大字大声超长待机双屏超薄商务语音王男女,￥269.00,94人付款,长虹佳音专卖店,安徽 合肥,,,
旗舰正品Changhong/长虹 A8 老人机怀旧翻盖老年人手机老人手机大屏大字大声超长待机双屏超薄商务语音王男女,￥269.00,94人付款,长虹佳音专卖店,安徽 合肥,,,
OPPO R9S plus新品 a77手机全网通r11splus官方正品旗舰店oppor9s,"￥1,012.00",131人付款,广州手机批发中心,广东 广州,,,
分期免息Apple/苹果 iPhone 8 Plus全新苹果8x iphone8p国行手机,"￥2,100.00",16人付款,花世界933,广东 深圳,,,
正品官网直降 Xiaomi/小米 Redmi 7红米note7pro小米7手机9全面屏,￥658.00,213人付款,梅州铭鑫通讯,广东 深圳,,,
LG V35手机 移动联通双4G 6GRAM,"￥1,269.00",92人付款,蝶念花儿花念蝶,广东 深圳,,,
